<b>Which one of the following matches is false?</b><br><br>a. Ammo I/C - CPL<br>b. Range Sergeant Major - CSM<br>c. Weapon Safety - 3SG<br>d. Arms Clearing I/C - 3SG;Answer: a. Ammo I/C - CPL
<b>Which of the following is an EED?</b><br><br>a. Bridge Wire<br>b. Charged composition<br>c. Conducting charge<br>d. Bridge composition;Answer: a. Bridge Wire
<b>State which of the following falls under the Ergonomics category of the Machine factor.</b><br><br>a. Machine is not maintained<br>b. Machine is poorly designed<br>c. Machine is defective<br>d. Machine is used incorrectly;Answer: b. Machine is poorly designed
<b>Describe why it is important to follow the correct procedure of handling the weapon and ammo.</b><br><br>a. Human error contributes the most to incidents.<br>b. Failure to follow the correct procedures is a punishable offence.<br>c. The weapon may get damaged.<br>d. The ammo may get damaged.;Answer: a. Human error contributes the most to incidents.
<b>State which of the following is a possible factor that lead to forklift turn overs.</b><br><br>a. Turning sharply<br>b. Braking too hard<br>c. Colliding with overhead structure<br>d. All of the above;Answer: d. All of the above
<b>State which of the following is a possible accident involving forklifts.</b><br><br>a. Slips and falls<br>b. Flipping over<br>c. Pedestrians being struck<br>d. All of the above;Answer: d. All of the above
<b>Describe what should be done to the fork when parking a forklift.</b><br><br>a. Tilt fork fully forward and lowered to the ground<br>b. Tilt fork fully forward<br>c. Tilt fork fully backwards and lowered to the ground<br>d. Tilt fork to the right and lowered to the ground;Answer: a. Tilt fork fully forward and lowered to the ground
<b>How many hazard divisions of explosives are there?</b><br><br>a. 4<br>b. 5<br>c. 6<br>d. 7;Answer: c. 6
<b>Why is it important to handle ammunition safely?</b><br><br>a. Mishandling these items will lead to grave consequences.<br>b. Ammunition will not function if not handled safely.<br>c. Punishment will be meted out for unsafe behaviors.<br>d. It is written in the safety manual.;Answer: a. Mishandling these items will lead to grave consequences.
<b>Describe what may happen when there is improper stacking at ESH.</b><br><br>a. The ammunition packages may drop and injure personnel.<br>b. Ammunition and their boxes may be damaged.<br>c. Ammunition packages may drop and cause ammunition scattering.<br>d. All of the above.;Answer: d. All of the above.
<b>Which of the following is true of Titanium Tetrachloride?</b><br><br>a. Can cause nausea when inhaled<br>b. Can cause migraine when inhaled<br>c. Can cause blindness when in contact with the eye<br>d. All of the above;Answer: d. All of the above
<b>Is "Surrender all contraband when handling ammunition" one of the 10 golden rules of ammunition Safety?</b><br><br>a. Yes<br>b. No;Answer: a. Yes
<b>Which of the following is an example of a propellant?</b><br><br>a. Nitrocellulose<br>b. Thunderflash<br>c. Hand Grenade<br>d. Cartidge 40mm Rifle Grenade HEDP, M433;Answer: a. Nitrocellulose
<b>What is a dud?</b><br><br>a. Blind<br>b. Misfire<br>c. Hangfire<br>d. Blank;Answer: a. Blind
<b>What must a person be assigned to destroy blind wear?</b><br><br>a. Demolition goggle<br>b. Bullet proof vest<br>c. SAF issued helmet and earplug<br>d. All of the above;Answer: d. All of the above
